30.67,264.35,336.47,0,326.27,286.26,291.09,270.65,223.18,254.83,214.22,157.32,164.63,176.41,181.25,97.78,72.81,103.64,99.72,41.92,38.43
187.99,108.36,179.15,157.32,168.95,128.94,135.1,114.66,162.07,193.72,153.11,0,7.31,19.09,28.17,190.98,84.51,89.45,94.56,122.56,137.83
134.31,175.67,239.26,103.64,252.61,218.39,202.41,169.37,119.54,151.19,110.58,89.45,96.76,108.54,117.62,170.17,63.7,0,5.11,61.72,72.85
,,,,,,,,,,,,,,,,,,,,
"              销售地
生产地",1,10,11,16,22,24,27,31,34,36,42,,,,,,,,,
16,30.67,264.35,336.47,0,326.27,286.26,291.09,270.65,223.18,254.83,214.22,,,,,,,,,
63,187.99,108.36,179.15,157.32,168.95,128.94,135.1,114.66,162.07,193.72,153.11,,,,,,,,,
120,134.31,175.67,239.26,103.64,252.61,218.39,202.41,169.37,119.54,151.19,110.58,,,,,,,,,
"              销售地
生产地",63,64,65,79,94,106,120,123,141,145,,,,,,,,,,
16,157.32,164.63,176.41,181.25,97.78,72.81,103.64,99.72,41.92,38.43,,,,,,,,,,
63,0,7.31,19.09,28.17,190.98,84.51,89.45,94.56,122.56,137.83,,,,,,,,,,
120,89.45,96.76,108.54,117.62,170.17,63.7,0,5.11,61.72,72.85,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"              销售地
生产地",1,10,11,16,22,24,27,31,34,36,42,,,,,,,,,
16,30.67,264.35,336.47,0,326.27,286.26,291.09,270.65,223.18,254.83,214.22,,,,,,,,,
63,187.99,108.36,179.15,157.32,168.95,128.94,135.1,114.66,162.07,193.72,153.11,,,,,,,,,
120,134.31,175.67,239.26,103.64,252.61,218.39,202.41,169.37,119.54,151.19,110.58,,,,,,,,,
"              销售地
生产地",63,64,65,79,94,106,120,123,141,145,,,,,,,,,,
16,157.32,164.63,176.41,181.25,97.78,72.81,103.64,99.72,41.92,38.43,,,,,,,,,,
63,0,7.31,19.09,28.17,190.98,84.51,89.45,94.56,122.56,137.83,,,,,,,,,,
120,89.45,96.76,108.54,117.62,170.17,63.7,0,5.11,61.72,72.85,,,,,,,,,,
